count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
39.640000,0.020000,-9.614819,-1.615600,-1.082742,-0.606612,0.901669,-7.642383,-0.606612,0.901685,-7.642484,-0.980107,-0.164607,-0.110887,Transition
39.660000,0.020000,-9.463881,-1.699056,-0.937297,-0.603666,0.900118,-7.638924,-0.606612,0.901669,-7.642383,-0.979730,-0.165292,-0.113175,Walking
39.680000,0.020000,-8.796451,-1.743953,-1.100610,-0.587365,0.897779,-7.638957,-0.603666,0.900118,-7.638924,-0.979768,-0.165848,-0.112027,Walking
39.700000,0.020000,-8.739676,-1.766443,-1.010222,-0.569594,0.894632,-7.639723,-0.587365,0.897779,-7.638957,-0.981468,-0.164027,-0.099073,Walking
39.720000,0.019997,-8.686069,-1.759237,-0.787262,-0.550194,0.890819,-7.640865,-0.569594,0.894632,-7.639723,-0.984324,-0.159893,-0.074429,Walking
39.740000,0.020000,-8.615372,-1.719863,-0.442143,-0.528765,0.886508,-7.642237,-0.550194,0.890819,-7.640865,-0.987438,-0.153350,-0.038079,Walking
39.760000,0.020000,-8.542393,-1.637697,0.044691,-0.505485,0.882135,-7.643189,-0.528765,0.886508,-7.642237,-0.989438,-0.144652,0.009411,Walking
39.780000,0.020000,-8.407176,-1.517539,0.631697,-0.479637,0.878027,-7.643717,-0.505485,0.882135,-7.643189,-0.988741,-0.133755,0.067084,Walking
39.800000,0.020000,-8.239708,-1.340840,1.321173,-0.451412,0.874750,-7.643454,-0.479637,0.878027,-7.643717,-0.983782,-0.119980,0.133335,Walking
39.820000,0.020000,-8.021073,-1.110917,2.124803,-0.420835,0.872698,-7.641049,-0.451412,0.874750,-7.643454,-0.973489,-0.102782,0.204340,Walking
39.840000,0.020000,-7.717539,-0.821325,2.939999,-0.387403,0.872252,-7.636813,-0.420835,0.872698,-7.641049,-0.957092,-0.081450,0.278103,Walking
39.860000,0.020000,-7.489427,-0.489558,3.966955,-0.353717,0.873556,-7.626092,-0.387403,0.872252,-7.636813,-0.935140,-0.056553,0.349736,Walking
39.880000,0.019997,-7.316645,-0.130368,4.567750,-0.321835,0.876546,-7.616597,-0.353717,0.873556,-7.626092,-0.908359,-0.028529,0.417218,Walking
39.900000,0.020000,-7.784982,0.091535,5.440075,-0.304395,0.878944,-7.600082,-0.321835,0.876546,-7.616597,-0.882462,-0.002895,0.470375,Walking
39.920000,0.020000,-8.317630,0.098057,6.182697,-0.300426,0.878233,-7.573782,-0.304395,0.878944,-7.600082,-0.868101,0.013619,0.496201,Walking
39.940000,0.020000,-8.320622,0.165800,6.417728,-0.297769,0.876646,-7.544856,-0.300426,0.878233,-7.573782,-0.861719,0.024991,0.506771,Walking
39.960000,0.020000,-8.534752,0.151674,6.739628,-0.299938,0.872702,-7.510286,-0.297769,0.876646,-7.544856,-0.858949,0.035566,0.510824,Walking
39.980000,0.020000,-8.653997,0.239895,6.818011,-0.304227,0.868714,-7.473557,-0.299938,0.872702,-7.510286,-0.860305,0.044777,0.507809,Walking
40.000000,0.020000,-8.898592,0.267956,6.947919,-0.312412,0.863957,-7.432395,-0.304227,0.868714,-7.473557,-0.865378,0.051559,0.498460,Walking
40.020000,0.020000,-9.178274,0.272402,7.019379,-0.324222,0.858737,-7.386244,-0.312412,0.863957,-7.432395,-0.875411,0.054374,0.480311,Walking
40.040000,0.020000,-9.374961,0.274756,6.921485,-0.337334,0.853816,-7.337117,-0.324222,0.858737,-7.386244,-0.888822,0.053087,0.455167,Walking
40.060000,0.019997,-9.746840,0.235135,6.910815,-0.354622,0.849412,-7.281695,-0.337334,0.853816,-7.337117,-0.905432,0.046419,0.421945,Walking
40.080000,0.020000,-9.928554,0.179172,6.613415,-0.371902,0.846232,-7.224139,-0.354622,0.849412,-7.281695,-0.924015,0.034475,0.380800,Walking
40.100000,0.020000,-10.155400,0.100169,6.313766,-0.390058,0.844479,-7.163230,-0.371902,0.846232,-7.224139,-0.942672,0.019146,0.333170,Walking
40.120000,0.020000,-10.370240,0.007913,5.862650,-0.408896,0.845003,-7.100168,-0.390058,0.844479,-7.163230,-0.961096,-0.001866,0.276209,Walking
40.140000,0.020000,-10.480030,-0.148367,5.312348,-0.426806,0.847590,-7.035367,-0.408896,0.845003,-7.100168,-0.977022,-0.028310,0.211252,Walking
40.160000,0.020000,-10.605880,-0.337975,4.633964,-0.444996,0.853373,-6.969687,-0.426806,0.847590,-7.035367,-0.988421,-0.063926,0.137616,Walking
40.180000,0.020000,-10.520590,-0.677975,3.879407,-0.460685,0.861017,-6.903402,-0.444996,0.853373,-6.969687,-0.992472,-0.108071,0.057620,Walking
40.200000,0.020000,-10.429290,-1.019116,3.080061,-0.475557,0.871455,-6.837361,-0.460685,0.861017,-6.903402,-0.987327,-0.157081,-0.022621,Walking
40.220000,0.019997,-10.207190,-1.432802,2.300081,-0.488862,0.884015,-6.771960,-0.475557,0.871455,-6.837361,-0.972666,-0.210083,-0.098929,Walking
40.240000,0.020000,-9.837168,-1.886812,1.594764,-0.499180,0.897589,-6.706790,-0.488862,0.884015,-6.771960,-0.950182,-0.261522,-0.169590,Walking
40.260000,0.020000,-9.457224,-2.299819,0.859053,-0.507241,0.911830,-6.644060,-0.499180,0.897589,-6.706790,-0.922956,-0.307017,-0.232150,Walking
40.280000,0.020000,-9.058853,-2.660846,0.255123,-0.513139,0.926469,-6.582676,-0.507241,0.911830,-6.644060,-0.893368,-0.345849,-0.286849,Walking
40.300000,0.020000,-8.679555,-2.986073,-0.366112,-0.517629,0.941127,-6.523915,-0.513139,0.926469,-6.582676,-0.861884,-0.379099,-0.336810,Walking
40.320000,0.020000,-8.325932,-3.285077,-0.999252,-0.521389,0.955222,-6.468820,-0.517629,0.941127,-6.523915,-0.829552,-0.406710,-0.382663,Walking
40.340000,0.020000,-7.970572,-3.527159,-1.520380,-0.524682,0.969121,-6.415614,-0.521389,0.955222,-6.468820,-0.795713,-0.430384,-0.426159,Walking
40.360000,0.020000,-7.628311,-3.853063,-2.180471,-0.527940,0.980382,-6.367568,-0.524682,0.969121,-6.415614,-0.761003,-0.450167,-0.467146,Walking
40.380000,0.019997,-7.230155,-4.072366,-2.647555,-0.530119,0.990411,-6.321321,-0.527940,0.980382,-6.367568,-0.725908,-0.466248,-0.505639,Walking
40.400000,0.020000,-6.790584,-4.332885,-3.198810,-0.530417,0.997737,-6.279006,-0.530119,0.990411,-6.321321,-0.690693,-0.479016,-0.541744,Walking
40.420000,0.020000,-6.457366,-4.527968,-3.701046,-0.530490,1.002737,-6.240321,-0.530417,0.997737,-6.279006,-0.657873,-0.487054,-0.574441,Walking
40.440000,0.020000,-6.163465,-4.585204,-4.081830,-0.530531,1.007335,-6.203486,-0.530490,1.002737,-6.240321,-0.628072,-0.490836,-0.603825,Walking
40.460000,0.020000,-5.969651,-4.723437,-4.615234,-0.531023,1.008590,-6.172527,-0.530531,1.007335,-6.203486,-0.606023,-0.487889,-0.628252,Walking
40.480000,0.020000,-5.846995,-4.691303,-4.894961,-0.531489,1.008567,-6.143424,-0.531023,1.008590,-6.172527,-0.593646,-0.478097,-0.647308,Walking
40.500000,0.020000,-5.800474,-4.698637,-5.215810,-0.531797,1.005494,-6.117952,-0.531489,1.008567,-6.143424,-0.589715,-0.463301,-0.661505,Walking
40.520000,0.020000,-5.821867,-4.668616,-5.500398,-0.531077,0.999090,-6.096791,-0.531797,1.005494,-6.117952,-0.597130,-0.443264,-0.668545,Walking
40.540000,0.020000,-5.933119,-4.513454,-5.616820,-0.529493,0.991228,-6.077809,-0.531077,0.999090,-6.096791,-0.612874,-0.420017,-0.669306,Walking
40.560000,0.019997,-6.064597,-4.448765,-5.894344,-0.525517,0.979883,-6.066176,-0.529493,0.991228,-6.077809,-0.638478,-0.395663,-0.660149,Walking
40.580000,0.020000,-6.367111,-4.236825,-5.820017,-0.520830,0.968026,-6.057072,-0.525517,0.979883,-6.066176,-0.672928,-0.371456,-0.639678,Walking
40.600000,0.020000,-6.699231,-4.071545,-5.772738,-0.514978,0.954854,-6.053023,-0.520830,0.968026,-6.057072,-0.712723,-0.347906,-0.609088,Walking
40.620000,0.020000,-7.108806,-3.863663,-5.530041,-0.508540,0.941379,-6.052548,-0.514978,0.954854,-6.053023,-0.757465,-0.325168,-0.566138,Walking
40.640000,0.020000,-7.493658,-3.612506,-5.113737,-0.500896,0.928487,-6.054029,-0.508540,0.941379,-6.052548,-0.802838,-0.302544,-0.513729,Walking
40.660000,0.020000,-7.957030,-3.355968,-4.608362,-0.493942,0.916501,-6.057498,-0.500896,0.928487,-6.054029,-0.846558,-0.281005,-0.452079,Walking
40.680000,0.020000,-8.296572,-3.076532,-3.942706,-0.485973,0.906095,-6.061255,-0.493942,0.916501,-6.057498,-0.886338,-0.260577,-0.382758,Walking
40.700000,0.020000,-8.607409,-2.787938,-3.233915,-0.477573,0.897522,-6.065351,-0.485973,0.906095,-6.061255,-0.920225,-0.240497,-0.308783,Walking
40.720000,0.019997,-8.820568,-2.509030,-2.543726,-0.468124,0.890512,-6.070550,-0.477573,0.897522,-6.065351,-0.947309,-0.220028,-0.232794,Walking
40.740000,0.020000,-8.941594,-2.244574,-1.827230,-0.457132,0.884436,-6.076198,-0.468124,0.890512,-6.070550,-0.967503,-0.197837,-0.157477,Walking
40.760000,0.020000,-9.006343,-1.965145,-1.018633,-0.444787,0.879573,-6.080346,-0.457132,0.884436,-6.076198,-0.980994,-0.175533,-0.082695,Walking
40.780000,0.020000,-9.006895,-1.707448,-0.249222,-0.431072,0.875637,-6.083665,-0.444787,0.879573,-6.080346,-0.988035,-0.153993,-0.008485,Walking
